ANNO,ALGORITMO,SCORE,VALUE,TEST,TRAIN,PREDICTOR,CENTRALITY
1990,tnodeembedding,micro-F1,0.7228915662650603,83,205,Random Forest,eigenvector
1990,tnodeembedding,macro-F1,0.619756100207228,83,205,Random Forest,eigenvector
1990,WALKHUBS2VEC,micro-F1,0.42168674698795183,83,205,Logistic Regression,eigenvector
1990,WALKHUBS2VEC,macro-F1,0.1767105443576032,83,205,Logistic Regression,eigenvector
1990,WALKHUBS2VEC,micro-F1,0.5060240963855421,83,205,Random Forest,eigenvector
1990,WALKHUBS2VEC,macro-F1,0.27026400829217734,83,205,Random Forest,eigenvector
1991,deepwalk,micro-F1,0.7065217391304348,184,288,Logistic Regression,eigenvector
1991,deepwalk,macro-F1,0.4459479304762324,184,288,Logistic Regression,eigenvector
1991,deepwalk,micro-F1,0.6902173913043478,184,288,Random Forest,eigenvector
1991,deepwalk,macro-F1,0.4369881527490223,184,288,Random Forest,eigenvector
1991,ctdne,micro-F1,0.625,184,288,Logistic Regression,eigenvector
1991,ctdne,macro-F1,0.4064474797233417,184,288,Logistic Regression,eigenvector
1991,ctdne,micro-F1,0.6032608695652174,184,288,Random Forest,eigenvector
1991,ctdne,macro-F1,0.3983293039487969,184,288,Random Forest,eigenvector
1991,tnodeembedding,micro-F1,0.6358695652173914,184,288,Logistic Regression,eigenvector
1991,tnodeembedding,macro-F1,0.38562610229276895,184,288,Logistic Regression,eigenvector
1991,tnodeembedding,micro-F1,0.6141304347826086,184,288,Random Forest,eigenvector
1991,tnodeembedding,macro-F1,0.4010006585021709,184,288,Random Forest,eigenvector
1991,WALKHUBS2VEC,micro-F1,0.43478260869565216,184,288,Logistic Regression,eigenvector
1991,WALKHUBS2VEC,macro-F1,0.2082955593776337,184,288,Logistic Regression,eigenvector
1991,WALKHUBS2VEC,micro-F1,0.5054347826086957,184,288,Random Forest,eigenvector
1991,WALKHUBS2VEC,macro-F1,0.19929938033708097,184,288,Random Forest,eigenvector
1992,deepwalk,micro-F1,0.6136986301369863,365,472,Logistic Regression,eigenvector
1992,deepwalk,macro-F1,0.4264437769619495,365,472,Logistic Regression,eigenvector
1992,deepwalk,micro-F1,0.6383561643835617,365,472,Random Forest,eigenvector
1992,deepwalk,macro-F1,0.44071823963664475,365,472,Random Forest,eigenvector
1992,ctdne,micro-F1,0.6027397260273972,365,472,Logistic Regression,eigenvector
1992,ctdne,macro-F1,0.4039523562774729,365,472,Logistic Regression,eigenvector
1992,ctdne,micro-F1,0.5753424657534246,365,472,Random Forest,eigenvector
1992,ctdne,macro-F1,0.3789322900233483,365,472,Random Forest,eigenvector
1992,tnodeembedding,micro-F1,0.6520547945205479,365,472,Logistic Regression,eigenvector
1992,tnodeembedding,macro-F1,0.4373913114192864,365,472,Logistic Regression,eigenvector
1992,tnodeembedding,micro-F1,0.6301369863013698,365,472,Random Forest,eigenvector
1992,tnodeembedding,macro-F1,0.44161698359965723,365,472,Random Forest,eigenvector
1992,WALKHUBS2VEC,micro-F1,0.4000000000000001,365,472,Logistic Regression,eigenvector
1992,WALKHUBS2VEC,macro-F1,0.1998955310129285,365,472,Logistic Regression,eigenvector
1992,WALKHUBS2VEC,micro-F1,0.4438356164383562,365,472,Random Forest,eigenvector
1992,WALKHUBS2VEC,macro-F1,0.19871624933416698,365,472,Random Forest,eigenvector
1993,deepwalk,micro-F1,0.7064102564102565,780,837,Logistic Regression,eigenvector
